American Community Survey (ACS) Data Time Period,Borough,Borough Community District Code,Community District Name,Community District Population,Total LEP Population (Estimate),% of Population that is LEP,Total CVALEP Population (Estimate),% of Population that is CVALEP
2015-2019,Manhattan,101,"Battery Park City, Tribeca",60978,3151,5,1789,3
2015-2019,Manhattan,102,"Greenwich Village, Soho",90016,4651,5,2641,3
2015-2019,Manhattan,103,"Lower East Side, Chinatown",163277,41906,26,26802,16
2015-2019,Manhattan,104,"Chelsea, Clinton",103245,8773,8,5251,5
2015-2019,Manhattan,105,Midtown Business District,51673,4391,8,2628,5
2015-2019,Manhattan,106,"Stuyvesant Town, Turtle Bay",142745,9597,7,4570,3
2015-2019,Manhattan,107,"West Side, Upper West Side",209084,14074,7,8241,4
2015-2019,Manhattan,108,Upper East Side,219920,9260,4,4021,2
2015-2019,Manhattan,109,"Manhattanville, Hamilton Heights",110193,23784,22,11406,10
2015-2019,Manhattan,110,Central Harlem,115723,13909,12,6836,6
2015-2019,Manhattan,111,East Harlem,120511,19924,17,10668,9
2015-2019,Manhattan,112,"Washington Heights, Inwood",190020,74470,39,38032,20
2015-2019,Bronx,201,"Melrose, Mott Haven, Port Morris",91497,27216,30,13405,15
2015-2019,Bronx,202,"Hunts Point, Longwood",52246,15540,30,7654,15
2015-2019,Bronx,203,"Morrisania, Crotona Park East",79762,21056,26,10396,13
2015-2019,Bronx,204,"Highbridge, Concourse Village",146441,48138,33,19834,14
2015-2019,Bronx,205,"University Hts., Fordham, Mt. Hope",128200,46770,36,19508,15
2015-2019,Bronx,206,"East Tremont, Belmont",83268,21981,26,10854,13
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",139286,46219,33,17489,13
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",101731,23174,23,11852,12
2015-2019,Bronx,209,"Soundview, Parkchester",172298,42937,25,20680,12
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",120392,14550,12,11560,10
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",113232,27599,24,15753,14
2015-2019,Bronx,212,"Wakefield, Williamsbridge",152344,15293,10,7987,5
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",173083,31081,18,17402,10
2015-2019,Brooklyn,302,"Brooklyn Heights, Fort Greene",99617,10572,11,5361,5
2015-2019,Brooklyn,303,Bedford Stuyvesant,152985,14840,10,7042,5
2015-2019,Brooklyn,304,Bushwick,112634,28164,25,14077,12
2015-2019,Brooklyn,305,"East New York, Starrett City",182896,23137,13,13028,7
2015-2019,Brooklyn,306,"Park Slope, Carroll Gardens",104709,5790,6,3583,3
2015-2019,Brooklyn,307,"Sunset Park, Windsor Terrace",126230,62631,50,22232,18
2015-2019,Brooklyn,308,Crown Heights North,96317,8093,8,4606,5
2015-2019,Brooklyn,309,"Crown Heights South, Wingate",98429,9365,10,4624,5
2015-2019,Brooklyn,310,"Bay Ridge, Dyker Heights",124491,31698,25,16587,13
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",181981,84205,46,45054,25
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",191382,39884,21,20174,11
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",104278,50447,48,32514,31
2015-2019,Brooklyn,314,"Flatbush, Midwood",160664,34333,21,17774,11
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",159650,51123,32,31475,20
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",86468,9839,11,5691,7
2015-2019,Brooklyn,317,"East Flatbush, Rugby, Farragut",155252,9785,6,4840,3
2015-2019,Brooklyn,318,"Canarsie, Flatlands",193543,22355,12,14653,8
2015-2019,Queens,401,"Astoria, Long Island City",191105,34740,18,20461,11
2015-2019,Queens,402,"Sunnyside, Woodside",113200,47093,42,16268,14
2015-2019,Queens,403,"Jackson Heights, North Corona",171576,79686,46,27771,16
2015-2019,Queens,404,"Elmhurst, South Corona",172598,65477,38,26386,15
2015-2019,Queens,405,"Ridgewood, Glendale, Maspeth",169190,40462,24,19662,12
2015-2019,Queens,406,"Forest Hills, Rego Park",113257,26927,24,17206,15
2015-2019,Queens,407,"Flushing, Bay Terrace",247354,121215,49,53719,22
2015-2019,Queens,408,"Fresh Meadows, Briarwood",151107,42708,28,22839,15
2015-2019,Queens,409,"Woodhaven, Richmond Hill",143317,38063,27,18812,13
2015-2019,Queens,410,"Ozone Park, Howard Beach",122396,17122,14,10437,9
2015-2019,Queens,411,"Bayside, Douglaston, Little Neck",116431,35052,30,21371,18
2015-2019,Queens,412,"Jamaica, St. Albans, Hollis",225919,33448,15,15687,7
2015-2019,Queens,413,"Queens Village, Rosedale",188593,24481,13,14972,8
2015-2019,Queens,414,"The Rockaways, Broad Channel",114978,15643,14,8426,7
2015-2019,Staten Island,501,"Stapleton, Port Richmond",175756,20669,12,10644,6
2015-2019,Staten Island,502,"New Springville, South Beach",132003,18784,14,11818,9
2015-2019,Staten Island,503,"Tottenville, Woodrow, Great Kills",160209,10719,7,7831,5
